Medien|||||
|||||
ID|Dateiname|Beschreibung|Quellenangabe|Crop|Type
M132|BPFHuether.jpg|Prof. Dr. Michael Hüther, Direktor des IW Köln|Quelle: Bildschön|FALSCH|IMAGE
M133|BPFHuetherBraunHundt.jpg|Prof. Dr. Michael Hüther, Dr. Helge Braun, Prof. Dr. Dieter Hundt (v. l. n. r.)|Quelle: Bildschön|FALSCH|IMAGE
M134|BPFIschinger.jpg|Prof. Dr. Barbara Ischinger, Bildungsdirektorin der OECD|Quelle: Bildschön|WAHR|IMAGE
M135|CoverEssaybandHB2011.jpg|Essayband „Herausforderung Bildungsgerechtigkeit“|Quelle: sdw|FALSCH|IMAGE
M136|sdwLeitbild2011.jpg|Vision und Mission der sdw|Quelle: sdw|FALSCH|IMAGE
M137|CoverEssaybandBGermoeglichen2011.jpg|Essayband „Bildungsgerechtigkeit ermöglichen!“|Quelle: sdw|WAHR|IMAGE
M138|logoelternkompasstel4c.jpg||Quelle: sdw|FALSCH|IMAGE
M139|LogoNSWO.jpg|Logo des Projekts Netzwerk <i>SCHULE</i>WIRTSCHAFT Ostdeutschland|Quelle: sdw|FALSCH|IMAGE
M140|ImagebildNWSO.jpg|Vertreter des Bundesinnenministeriums, der Landesarbeitsgemeinschaften <i>SCHULE</i>WIRTSCHAFT und der sdw besiegeln ihre Zusammenarbeit im Netzwerk <i>SCHULE</i>WIRTSCHAFT Ostdeutschland.|Quelle: Heidi Scherm|WAHR|IMAGE
M141|NSWOEnergiekonzept.jpg|Eine Schülergruppe erläutert Dr. Arndt Schnöring (sdw-Generalsekretär), Stefan Unterlandstättner (Vorstandsvorsitzender Deutsche Kreditbank AG), Dr. Christoph Bergner (Staatssekretär im Bundesministerium des Innern) und Ulrich Wiethaup (Vorsitzender Bundesarbeitsgemeinschaft <i>SCHULE</i>WIRTSCHAFT) ihr Energiekonzept.|Quelle: photothek.net|WAHR|IMAGE
M142|SchuleWirtschaft.jpg|Website des Projekts||FALSCH|IMAGE
M143|HoldingstrukturNEUMaerz2014.jpg|Holdingstruktur der sdw, Stand März 2014|Quelle: sdw|FALSCH|IMAGE
M144|BPF2012TNGe.jpg|Junge Teilnehmer des Bildungspolitischen Forums 2012, im Hintergrund die Projektleiterin von Unternehmen:Jugend Silke Gerstenberger|Quelle: photothek.net|WAHR|IMAGE
M145|BPF2012Impression.jpg|Impression vom Bildungspolitischen Forum 2012|Quelle: photothek.net|WAHR|IMAGE
M146|BPF2012MitriSirin.jpg|Moderator Mitri Sirin (rbb, ZDF)|Quelle: photothek.net|WAHR|IMAGE
M147|BFF2012KristinaSchroeder.jpg|Dr. Kristina Schröder, Bundesfamilienministerin 2009-2013|Quelle: photothek.net|WAHR|IMAGE
M148|BPF2012SchroederKramer.jpg|Unternehmen:Jugend-Teilnehmer mit der damaligen Bundesfamilienministerin Dr. Kristina Schröder, dem sdw-Vorstandsvorsitzenden Ingo Kramer und sdw-Generalsekretär Dr. Arndt Schnöring|Quelle: photothek.net|WAHR|IMAGE
M149|BPF2012jungeTN.jpg|Jugendliche Teilnehmer des Bildungspolitischen Forums 2012|Quelle: photothek.net|WAHR|IMAGE
M150|//www.youtube.com/embed/yMlnOL5Y-_4|Der Film zum Projekt Zeig, was Du kannst! mit der Walter Blüchert Stiftung|Quelle: sdw|WAHR|YOUTUBE
M151|ZWDKAuftaktDuesseldorfThielen.jpg|Kick off-Workshop von Zeig, was Du kannst! in Düsseldorf mit Prof. Dr. Gunter Thielen, Vorstandsvorsitzender der Walter Blüchert Stiftung|Quelle: photothek.net|WAHR|IMAGE
M152|ZWDKWSDuesseldorfThielen.jpg|Prof. Dr. Gunter Thielen, Vorstandsvorsitzender der Walter Blüchert Stiftung, beim Projektauftakt in Düsseldorf|Quelle: photothek.net|WAHR|IMAGE
M153|ZWDKWorkshopDuesseldorfTN.jpg|Teilnehmer des Zeig, was Du kannst!-Kick offs in Düsseldorf|Quelle: photothek.net|WAHR|IMAGE
M154|ZWDKWorkshopDuesseldorfTN2.jpg|Teilnehmer des Zeig, was Du kannst!-Kick offs in Düsseldorf|Quelle: photothek.net|WAHR|IMAGE
M155|ZWDKMotivation.jpg|Was motiviert die Teilnehmer von Zeig, was Du kannst!?|Quelle: photothek.net|WAHR|IMAGE
M156|ZWDKHandwerkskammerFrisoere.jpg|Zeig, was Du kannst!: Besuch der Meisterschule der Friseure in der Handwerkskammer Düsseldorf|Quelle: Handwerkskammer Düsseldorf|WAHR|IMAGE
M157|ZWDKUnternehmensbesichtigungMuenchen.jpg|Zeig, was Du kannst!-Teilnehmer bei ASM Assembly Systems in München|Quelle: Conny Kurz|WAHR|IMAGE
M158|ZWDKTeilnehmerausBremen.jpg|Bremer Zeig, was Du kannst!-Teilnehmer mit dem sdw-Vorstandsvorsitzenden Ingo Kramer|Quelle: Frank Pusch|WAHR|IMAGE
M159|LAMINToringStuttgart2013.jpg|Sie sollen die MINT-Lehrer von morgen sein: Lehramt MINToring-Workshop 2013 in Stuttgart|Quelle: Conny Kurz|WAHR|IMAGE
M160|ZWDKHandbuch.jpg|Cover des Handbuchs „Erfolgreich von der Schule in die Ausbildung“|Quelle: sdw|FALSCH|IMAGE
